epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.175,1.3766,1.44271,1.07786,0.60647,0.52443,0.5518,0.30582,1.22721,0.91898,1.02778,0.00047506,0.00047506,0.00047506
2,341.404,1.28637,1.00494,1.06228,0.58494,0.5278,0.55307,0.31578,1.20109,0.87108,1.04689,0.000932555,0.000932555,0.000932555
3,508.107,1.25821,0.91919,1.0545,0.70552,0.53365,0.59944,0.3464,1.20118,0.83272,1.04603,0.00137119,0.00137119,0.00137119
4,671.75,1.22481,0.86422,1.04172,0.66288,0.55451,0.61266,0.35956,1.14441,0.78964,1.02896,0.00134412,0.00134412,0.00134412
5,833.08,1.18018,0.81366,1.02448,0.77019,0.53908,0.64247,0.3826,1.1063,0.73725,1.0093,0.00131582,0.00131582,0.00131582
6,994.973,1.15194,0.78421,1.01598,0.74071,0.59868,0.6784,0.40544,1.09876,0.73779,1.0098,0.00128753,0.00128753,0.00128753
7,1155.16,1.1441,0.77138,1.01356,0.69151,0.59268,0.65681,0.39425,1.10717,0.725,1.01205,0.00125923,0.00125923,0.00125923
8,1316.44,1.12427,0.7495,1.00667,0.75089,0.62168,0.69268,0.42405,1.05274,0.6786,0.99185,0.00123094,0.00123094,0.00123094
9,1477.48,1.10014,0.72628,0.99501,0.78133,0.60634,0.70854,0.43146,1.03454,0.66585,0.9872,0.00120265,0.00120265,0.00120265
10,1641.19,1.08575,0.71601,0.99272,0.75994,0.65018,0.71151,0.4383,1.03504,0.67312,0.98913,0.00117435,0.00117435,0.00117435
11,1803.92,1.07021,0.69757,0.98431,0.81151,0.65349,0.74793,0.45695,0.99763,0.64334,0.97511,0.00114606,0.00114606,0.00114606
12,1962.93,1.06231,0.69275,0.98287,0.82121,0.65329,0.75222,0.46892,0.99236,0.6236,0.97485,0.00111776,0.00111776,0.00111776
13,2123.03,1.05346,0.6806,0.97917,0.80723,0.6668,0.75751,0.46835,0.99249,0.62442,0.97575,0.00108947,0.00108947,0.00108947
14,2284.2,1.03705,0.66857,0.97447,0.81315,0.63071,0.74846,0.46912,0.99148,0.62631,0.97199,0.00106118,0.00106118,0.00106118
15,2444.03,1.02676,0.6584,0.97052,0.8179,0.68573,0.77604,0.48306,0.9713,0.59983,0.96276,0.00103288,0.00103288,0.00103288
16,2604.71,1.0181,0.65186,0.96963,0.83334,0.66545,0.76715,0.47859,0.97695,0.59797,0.96528,0.00100459,0.00100459,0.00100459
17,2767.21,1.01775,0.64656,0.96724,0.86126,0.68211,0.79023,0.49739,0.95493,0.59144,0.95768,0.000976293,0.000976293,0.000976293
18,2929.01,1.00084,0.63599,0.96164,0.8446,0.72654,0.81203,0.51671,0.93003,0.56812,0.94993,0.000947999,0.000947999,0.000947999
19,3089.15,0.99066,0.6327,0.95984,0.85364,0.70041,0.79481,0.51176,0.94383,0.5698,0.95564,0.000919704,0.000919704,0.000919704
20,3246.04,0.98107,0.61805,0.95182,0.83488,0.71272,0.80088,0.51223,0.92988,0.56621,0.95012,0.00089141,0.00089141,0.00089141
21,3405.04,0.97042,0.61607,0.95347,0.86817,0.69751,0.80783,0.5226,0.91615,0.55285,0.9475,0.000863116,0.000863116,0.000863116
22,3560.47,0.96576,0.6047,0.94637,0.84901,0.71628,0.80651,0.52334,0.91027,0.55202,0.94837,0.000834822,0.000834822,0.000834822
23,3716.05,0.96291,0.60299,0.95183,0.85458,0.72916,0.81838,0.53093,0.89629,0.53691,0.94085,0.000806528,0.000806528,0.000806528
24,3868.2,0.95594,0.5972,0.94665,0.85912,0.72924,0.82025,0.52761,0.90221,0.54009,0.94182,0.000778233,0.000778233,0.000778233
25,4024.69,0.94509,0.58715,0.94093,0.88173,0.72332,0.82483,0.53701,0.89559,0.53849,0.94095,0.000749939,0.000749939,0.000749939
26,4180.82,0.92807,0.57985,0.93785,0.84796,0.73709,0.82229,0.53795,0.89078,0.53224,0.93969,0.000721645,0.000721645,0.000721645
27,4335.39,0.92711,0.57555,0.93706,0.84891,0.72444,0.8195,0.53529,0.88494,0.53002,0.93736,0.000693351,0.000693351,0.000693351
28,4490.34,0.93191,0.57369,0.93509,0.87429,0.73417,0.8292,0.54406,0.87057,0.51914,0.93238,0.000665057,0.000665057,0.000665057
29,4647.05,0.92034,0.56652,0.93449,0.83708,0.74638,0.82983,0.54683,0.86922,0.51716,0.93358,0.000636762,0.000636762,0.000636762
30,4802.78,0.91515,0.56415,0.93166,0.8677,0.74502,0.84172,0.55549,0.86605,0.51274,0.9324,0.000608468,0.000608468,0.000608468
31,4955.55,0.90408,0.55871,0.92851,0.85341,0.74817,0.83688,0.5551,0.86289,0.51003,0.92884,0.000580174,0.000580174,0.000580174
32,5108.65,0.89865,0.55437,0.92815,0.86683,0.7569,0.84564,0.55695,0.86137,0.50673,0.92908,0.00055188,0.00055188,0.00055188
33,5260.42,0.89222,0.5447,0.92426,0.87437,0.75609,0.8481,0.56398,0.84398,0.50412,0.92295,0.000523586,0.000523586,0.000523586
